:  Test Pattern Example
: one pixel row 16 col 28
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
00000000 00000000 00000000 00000000 00000000 00000000 000000
 
